"REGION","Region","LOCATION","Country","INC","Income","VAR","Variable","TIME","Year","Value","Flag Codes","Flags"
"ASI","Asia","AUS","Australia","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ASI","Asia","AUS","Australia","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",59,,
"ALL","All regions","AUS","Australia","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","AUS","Australia","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",59,,
"EUR","Europe","AUT","Austria","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","AUT","Austria","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",49.3,,
"ALL","All regions","AUT","Austria","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","AUT","Austria","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",49.3,,
"EUR","Europe","BEL","Belgium","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","BEL","Belgium","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",48.2,,
"ALL","All regions","BEL","Belgium","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","BEL","Belgium","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",48.2,,
"AME","Americas","CAN","Canada","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","CAN","Canada","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",52.4,,
"ALL","All regions","CAN","Canada","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","CAN","Canada","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",52.4,,
"EUR","Europe","CZE","Czech Republic","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"EUR","Europe","CZE","Czech Republic","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",28.9,,
"ALL","All regions","CZE","Czech Republic","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","CZE","Czech Republic","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",28.9,,
"EUR","Europe","DNK","Denmark","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","DNK","Denmark","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",50.5,,
"ALL","All regions","DNK","Denmark","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","DNK","Denmark","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",50.5,,
"EUR","Europe","FIN","Finland","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","FIN","Finland","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",57.5,,
